,Time,Names,ConfirmedCases,Recovered,Deaths,Population,LandArea,MedianAge,German
0,2020-03-22,AFGHANISTAN,24,1,1,38928346,652860,18,Afghanistan
1,2020-03-22,ALBANIA,76,2,2,2877797,27400,36,Albanien
2,2020-03-22,ALGERIA,139,65,65,43851044,2381740,29,Algerien
3,2020-03-22,ANGOLA,2,0,0,32866272,1246700,17,Angola
4,2020-03-22,ANTIGUA AND BARBUDA,1,0,0,97929,440,34,Antigua Und Barbuda
5,2020-03-22,ARGENTINA,225,27,27,45195774,2736690,32,Argentinien
6,2020-03-22,ARMENIA,190,2,2,2963243,28470,35,Armenien
7,2020-03-22,ARUBA,8,1,1,106766,180,41,Aruba
8,2020-03-22,AUSTRALIA,1349,73,73,25499884,7682300,38,Australien
9,2020-03-22,AUSTRIA,3029,9,9,9006398,82409,43,Österreich
10,2020-03-22,AZERBAIJAN,53,11,11,10139177,82658,32,Aserbaidschan
11,2020-03-22,BAHAMAS,3,0,0,393244,10010,32,Bahamas
12,2020-03-22,BAHRAIN,310,125,125,1701575,760,32,Bahrain
13,2020-03-22,BANGLADESH,25,3,3,164689383,130170,28,Bangladesch
14,2020-03-22,BARBADOS,14,0,0,287375,430,40,Barbados
15,2020-03-22,BELARUS,76,15,15,9449323,202910,40,Weissrussland
16,2020-03-22,BELGIUM,2815,263,263,11589623,30280,42,Belgien
17,2020-03-22,BELIZE,0,0,0,397628,22810,25,Belize
18,2020-03-22,BENIN,2,0,0,12123200,112760,19,Benin
19,2020-03-22,BHUTAN,2,0,0,771608,38117,28,Bhutan
20,2020-03-22,BOLIVIA,19,0,0,11673021,1083300,26,Bolivien
21,2020-03-22,BOSNIA-HERZEGOVINA,94,2,2,3280819,51000,43,Bosnien-Herzegowina
22,2020-03-22,BOTSWANA,0,0,0,2351627,566730,24,Botswana
23,2020-03-22,BRAZIL,1178,5,5,212559417,8358140,33,Brasilien
24,2020-03-22,BRUNEI,83,2,2,437479,5270,32,Brunei
25,2020-03-22,BULGARIA,171,3,3,6948445,108560,45,Bulgarien
26,2020-03-22,BURKINA FASO,64,5,5,20903273,273600,18,Burkina Faso
27,2020-03-22,BURUNDI,0,0,0,11890784,25680,17,Burundi
28,2020-03-22,CABO VERDE,3,0,0,555987,4030,28,Kapverden
29,2020-03-22,CAMBODIA,53,2,2,16718965,176520,26,Kambodscha
30,2020-03-22,CAMEROON,40,2,2,26545863,472710,19,Kamerun
31,2020-03-22,CANADA,1331,15,15,37742154,9093510,41,Kanada
32,2020-03-22,CENTRAL AFRICAN REPUBLIC,3,0,0,4829767,622980,18,Zentralafrikanische Republik
33,2020-03-22,CHAD,1,0,0,16425864,1259200,17,Tschad
34,2020-03-22,CHANNEL ISLANDS,32,0,0,173863,190,43,Kanalinseln
35,2020-03-22,CHILE,539,8,8,19116201,743532,35,Chile
36,2020-03-22,"CHINA, Mainland",81057,72250,72250,1439323776,9388211,38,China
37,2020-03-22,HONG KONG,274,100,100,7496981,1050,45,Hongkong
38,2020-03-22,MACAU,19,10,10,649335,30,39,Macau
39,2020-03-22,TAIWAN,169,28,28,23816775,35410,42,Taiwan
40,2020-03-22,COLOMBIA,210,3,3,50882891,1109500,31,Kolumbien
41,2020-03-22,COMOROS,0,0,0,869601,1861,20,Comoros
42,2020-03-22,CONGO,3,0,0,5518087,341500,19,Kongo
43,2020-03-22,COSTA RICA,117,2,2,5094118,51060,33,Costa Rica
